INFO 2025-08-07 22:03:23,241 autoreload Watching for file changes with StatReloader
INFO 2025-08-07 23:12:13,747 autoreload Watching for file changes with StatReloader
INFO 2025-08-07 23:12:24,654 basehttp "GET /inventory/items/ HTTP/1.1" 200 78088
INFO 2025-08-07 23:12:25,482 basehttp "GET /static/inventory/css/notifications.css HTTP/1.1" 304 0
INFO 2025-08-07 23:12:25,512 basehttp "GET /static/inventory/js/stock_entry.js HTTP/1.1" 304 0
INFO 2025-08-07 23:12:25,512 basehttp "GET /static/inventory/js/notifications-page.js HTTP/1.1" 304 0
INFO 2025-08-07 23:12:25,574 basehttp "GET /static/inventory/js/notifications_config.js HTTP/1.1" 304 0
INFO 2025-08-07 23:12:25,596 basehttp "GET /static/inventory/js/notifications.js HTTP/1.1" 304 0
INFO 2025-08-07 23:12:25,604 basehttp "GET /static/inventory/js/websocket_notifications.js HTTP/1.1" 304 0
WARNING 2025-08-07 23:12:25,766 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-08-07 23:12:25,767 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 5338
WARNING 2025-08-07 23:12:29,872 log Not Found: /inventory/api/stock-entries/
WARNING 2025-08-07 23:12:29,875 basehttp "GET /inventory/api/stock-entries/?page=1&per_page=20&search=&warehouse=&start_date=&end_date= HTTP/1.1" 404 29902
INFO 2025-08-07 23:12:30,148 basehttp "GET /inventory/api/items/?page=1&per_page=10 HTTP/1.1" 200 5538
INFO 2025-08-07 23:12:30,160 basehttp "GET /inventory/api/items/?page=1&per_page=20 HTTP/1.1" 200 6076
ERROR 2025-08-07 23:12:30,176 log Internal Server Error: /inventory/api/notifications/
ERROR 2025-08-07 23:12:30,177 basehttp "GET /inventory/api/notifications/?page=1&per_page=20&type=all&search=&date_from=&date_to= HTTP/1.1" 500 520
INFO 2025-08-07 23:15:30,908 autoreload Watching for file changes with StatReloader
INFO 2025-08-07 23:16:27,970 autoreload Watching for file changes with StatReloader
INFO 2025-08-07 23:23:40,274 autoreload Watching for file changes with StatReloader
INFO 2025-08-07 23:24:02,459 basehttp "GET / HTTP/1.1" 200 4267
WARNING 2025-08-07 23:24:11,093 log Not Found: /favicon.ico
WARNING 2025-08-07 23:24:11,094 basehttp "GET /favicon.ico HTTP/1.1" 404 5227
INFO 2025-08-07 23:25:13,749 basehttp "POST / HTTP/1.1" 302 0
INFO 2025-08-07 23:25:13,871 basehttp "GET /dashboard/ HTTP/1.1" 200 12886
INFO 2025-08-07 23:25:57,064 basehttp "GET /inventory/api/warehouses/ HTTP/1.1" 200 41368
INFO 2025-08-07 23:25:57,532 basehttp "GET /static/inventory/css/warehouses.css HTTP/1.1" 200 3174
INFO 2025-08-07 23:25:57,605 basehttp "GET /static/inventory/js/warehouses.js HTTP/1.1" 200 68244
INFO 2025-08-07 23:25:58,530 basehttp "GET /inventory/api/warehouse-managers/ HTTP/1.1" 200 336
INFO 2025-08-07 23:25:58,897 basehttp "GET /inventory/api/warehouses/?page=1&per_page=12&sort_by=name&sort_order=asc HTTP/1.1" 200 3061
INFO 2025-08-07 23:40:34,154 autoreload D:\dental_clinic\zibadent\zibadent\settings.py changed, reloading.
ERROR 2025-08-07 23:41:34,423 notification_consumers خطا در اتصال WebSocket: 'WebSocketProtocol' object has no attribute 'handshake_deferred'
INFO 2025-08-07 23:41:34,438 notification_consumers User  admin disconnected from WebSocket : 4000)
ERROR 2025-08-07 23:41:34,468 notification_consumers خطا در اتصال WebSocket: 'WebSocketProtocol' object has no attribute 'handshake_deferred'
INFO 2025-08-07 23:41:34,487 notification_consumers User  admin disconnected from WebSocket : 4000)
ERROR 2025-08-07 23:41:34,525 notification_consumers خطا در اتصال WebSocket: 'WebSocketProtocol' object has no attribute 'handshake_deferred'
INFO 2025-08-07 23:41:34,541 notification_consumers User  admin disconnected from WebSocket : 4000)
ERROR 2025-08-07 23:41:37,484 notification_consumers خطا در اتصال WebSocket: 'WebSocketProtocol' object has no attribute 'handshake_deferred'
INFO 2025-08-07 23:41:37,493 notification_consumers User  admin disconnected from WebSocket : 4000)
INFO 2025-08-07 23:41:37,591 notification_consumers User  admin  WebSocket  connected 
